,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Latitude,Longitude
386,qasigiannguit,GL,-13.2,89,79,2.74,1605154013,68.82,-51.19
387,nedryhayliv,UA,-1.14,97,48,0.33,1605154013,50.83,33.88
388,piacabucu,BR,23.6,81,8,3.5,1605154013,-10.41,-36.43
389,cochrane,CA,-11.11,84,1,2.1,1605153627,51.18,-114.47
390,punta alta,AR,17.95,76,71,3.87,1605154014,-38.88,-62.07
391,hatillo,PR,23.89,94,100,0.45,1605154014,18.49,-66.83
392,polazna,RU,-3.0,92,75,5.0,1605154014,58.29,56.41
393,kautokeino,NO,-5.76,95,0,3.91,1605154014,69.01,23.04
394,simpang,ID,32.57,55,100,2.06,1605154014,-1.27,104.08
395,naze,JP,25.0,65,75,10.3,1605154014,28.37,129.48
396,alofi,NU,28.0,65,40,4.1,1605153882,-19.06,-169.92
397,panormos,GR,17.78,85,66,1.79,1605154015,35.42,24.69
398,kirakira,SB,29.46,71,50,3.1,1605154015,-10.45,161.92
399,cotonou,BJ,26.44,83,44,3.33,1605154015,6.37,2.42
400,werda,BW,23.2,46,0,4.3,1605154015,-25.27,23.28
401,tommot,RU,-2.85,96,100,2.45,1605154015,58.96,126.29
402,otjimbingwe,NA,19.55,32,0,1.56,1605154015,-22.35,16.13
403,puerto del rosario,ES,20.0,82,0,2.1,1605154015,28.5,-13.86
404,chapais,CA,-2.0,92,90,4.6,1605154016,49.78,-74.85
405,gresham,US,6.11,93,40,1.66,1605153762,45.5,-122.43
406,plouzane,FR,10.0,93,0,3.1,1605153767,48.38,-4.62
407,bowen,AU,29.0,37,9,5.1,1605154016,-20.02,148.23
408,nadym,RU,-17.97,93,61,4.07,1605154016,65.53,72.52
409,hirado,JP,19.44,55,20,1.5,1605154016,33.36,129.55
410,avera,US,23.0,85,90,3.1,1605154016,33.19,-82.53
411,sobolevo,RU,-0.58,96,100,1.49,1605154017,54.43,31.9
412,oranjemund,NA,16.68,59,0,1.99,1605154017,-28.55,16.43
413,san quintin,MX,6.67,11,25,2.24,1605154017,30.48,-115.95
414,mananjary,MG,24.39,74,44,4.8,1605154017,-21.22,48.33
415,ndungu,TZ,23.13,77,54,0.56,1605154017,-4.37,38.05
416,baswa,IN,23.61,27,0,2.32,1605154017,27.15,76.58
417,kerema,PG,28.6,70,20,3.81,1605154017,-7.96,145.78
418,anyama,CI,24.0,94,20,1.0,1605154018,5.49,-4.05
419,raybag,IN,23.05,57,22,5.42,1605154018,16.48,74.78
420,gingoog,PH,30.0,74,88,1.79,1605154018,8.82,125.1
421,ust-barguzin,RU,-0.09,91,3,2.38,1605154019,53.45,108.98
422,mexticacan,MX,16.99,36,0,2.22,1605154020,21.27,-102.78
423,boguchany,RU,1.56,82,93,7.37,1605154020,58.38,97.45
424,yar-sale,RU,-15.7,94,87,4.2,1605154021,66.83,70.83
425,san juan,AR,25.59,41,100,1.55,1605154021,-31.54,-68.54
426,svetlogorsk,BY,-0.06,95,86,1.71,1605154021,52.63,29.73
427,abu samrah,SY,15.54,68,46,1.63,1605154021,35.3,37.18
428,jose de freitas,BR,26.0,78,0,3.1,1605154021,-4.76,-42.58
429,grindavik,IS,2.0,93,75,5.1,1605154021,63.84,-22.43
430,seydi,TM,9.09,61,100,4.25,1605154021,39.48,62.91
431,honiara,SB,31.0,70,40,2.6,1605154021,-9.43,159.95
432,aitape,PG,26.71,79,100,2.52,1605154021,-3.14,142.35
433,saint-joseph,RE,25.0,57,20,2.6,1605154022,-21.37,55.62
434,tezu,IN,27.15,39,0,1.32,1605154022,27.92,96.17
435,yeniseysk,RU,-0.42,93,89,6.71,1605153816,58.45,92.17
436,san fernando,PH,25.0,94,90,8.2,1605154022,15.03,120.69
437,coffs harbour,AU,29.44,65,17,12.9,1605153949,-30.3,153.13
438,la palma,US,16.0,67,1,1.5,1605154022,33.85,-118.05
439,ikongo,MG,22.94,78,81,1.27,1605154022,-21.88,47.43
440,gunjur,GM,23.0,100,0,0.29,1605154023,13.2,-16.73
441,aguimes,ES,21.0,77,20,3.6,1605154023,27.91,-15.45
442,guanica,PR,23.33,93,100,4.02,1605154023,17.97,-66.91
443,chandrakona,IN,27.58,47,0,4.07,1605154023,22.73,87.52
444,saldanha,ZA,15.0,72,0,1.5,1605154023,-33.01,17.94
445,puri,IN,27.0,61,75,3.6,1605154023,19.8,85.85
446,belmonte,BR,23.0,83,0,2.1,1605154023,-15.86,-38.88
447,las tunas,CU,26.0,83,75,3.6,1605153968,20.96,-76.95
448,iguape,BR,21.64,94,100,1.45,1605154024,-24.71,-47.56
449,bosaso,SO,25.29,70,5,3.25,1605153944,11.28,49.18
450,maceio,BR,21.0,94,20,2.1,1605154024,-9.67,-35.74
451,ponta delgada,PT,15.0,67,75,2.1,1605153866,37.73,-25.67
452,tatvan,TR,3.58,75,45,2.04,1605154024,38.51,42.28
453,tonantins,BR,24.74,83,65,0.74,1605154024,-2.87,-67.8
454,fort saint james,CA,-5.3,97,100,1.2,1605154025,54.43,-124.25
455,kalmunai,LK,28.69,74,100,2.26,1605154025,7.42,81.82
456,morehead,US,7.22,70,1,1.5,1605153728,37.27,-87.18
457,quesnel,CA,-10.0,92,100,1.0,1605153605,53.0,-122.5
458,camana,PE,17.31,75,28,2.55,1605154025,-16.62,-72.71
459,chardara,KZ,9.25,68,100,4.55,1605154025,41.25,67.97
460,azangaro,PE,6.68,77,100,3.08,1605154025,-14.92,-70.22
461,wabana,CA,8.0,93,90,6.7,1605154025,47.63,-52.95
462,lososina,RU,5.14,64,69,1.27,1605154026,49.0,140.31
463,dunmore east,IE,7.78,88,27,0.45,1605154026,52.15,-6.99
464,conde,BR,24.0,83,20,2.6,1605154026,-7.26,-34.91
465,usolye,RU,-4.44,94,100,4.12,1605154026,59.43,56.68
466,coquimbo,CL,11.78,89,16,1.38,1605153663,-29.95,-71.34
467,keti bandar,PK,26.5,21,0,6.15,1605154026,24.14,67.45
468,antalaha,MG,23.89,68,13,2.64,1605154026,-14.9,50.28
469,sistranda,NO,7.0,75,0,9.3,1605154026,63.73,8.83
470,pecos,US,12.0,32,1,1.24,1605154027,31.42,-103.49
471,burnie,AU,17.78,59,68,8.49,1605153910,-41.07,145.92
472,sain alto,MX,15.24,39,1,3.11,1605154027,23.58,-103.25
473,kikwit,CD,20.43,96,100,0.28,1605154027,-5.04,18.82
474,aksha,RU,0.48,79,0,3.37,1605154027,50.28,113.29
475,plainview,US,19.0,93,90,3.1,1605153867,40.78,-73.47
476,arman,RU,-14.51,84,0,4.44,1605154027,59.7,150.17
477,progreso,MX,24.44,94,75,2.6,1605154027,21.28,-89.67
478,iralaya,HN,26.01,86,79,0.67,1605154028,15.0,-83.23
479,stratford-upon-avon,GB,9.44,93,87,1.79,1605154028,52.19,-1.71
480,jinxiang,CN,19.22,62,36,6.54,1605154028,27.43,120.61
481,karakulino,RU,-3.26,93,83,4.83,1605154028,56.01,53.71
482,nuristan,AF,-1.59,68,57,1.08,1605154028,35.3,70.83
483,umm lajj,SA,22.49,55,0,4.08,1605154028,25.02,37.27
484,batetskiy,RU,3.96,95,100,2.64,1605154028,58.65,30.3
485,karema,TZ,22.05,76,98,1.72,1605154028,-6.82,30.44
486,yatou,CN,17.28,59,22,6.42,1605154029,37.15,122.38
487,kenai,US,2.0,93,90,1.5,1605154029,60.55,-151.26
488,elizabeth city,US,24.0,94,90,4.1,1605154029,36.29,-76.25
489,zhezkazgan,KZ,-3.0,79,90,8.0,1605154029,47.8,67.71
490,hirara,JP,25.0,60,75,8.2,1605154029,24.8,125.28
491,college,US,-3.89,85,75,0.88,1605154030,64.86,-147.8
492,cintalapa,MX,20.95,92,39,0.28,1605154030,16.7,-93.73
493,meadow lake,US,3.33,40,1,2.6,1605153724,34.8,-106.54
494,zhigansk,RU,-15.25,94,100,5.6,1605154030,66.77,123.37
495,kununurra,AU,42.0,23,35,7.7,1605154030,-15.77,128.73
496,rudbar,AF,22.52,22,96,2.92,1605154030,30.15,62.6
497,sangar,RU,-16.82,91,100,4.3,1605154030,63.92,127.47
498,hambantota,LK,28.0,94,40,1.5,1605153909,6.12,81.12
499,hefei,CN,21.67,52,0,2.0,1605154030,31.86,117.28
500,nioro,GM,23.66,29,0,1.25,1605154031,13.35,-15.75
501,nishihara,JP,25.0,53,90,6.2,1605154031,26.18,127.76
502,koscierzyna,PL,4.44,93,75,3.6,1605154031,54.12,17.98
503,caiaponia,BR,21.15,78,36,1.54,1605154031,-16.96,-51.81
504,sakaiminato,JP,17.0,55,20,6.2,1605153736,35.55,133.23
505,dawei,MM,28.07,59,44,5.71,1605153766,14.08,98.2
506,lavrentiya,RU,-0.14,97,100,6.47,1605154031,65.58,-171.0
507,longyearbyen,SJ,8.0,87,75,18.0,1605154032,78.22,15.64
508,goderich,CA,5.0,64,0,4.6,1605153676,43.75,-81.72
509,fort nelson,CA,-18.0,84,75,1.0,1605154032,58.81,-122.7
510,husainabad,IN,26.92,44,0,1.26,1605154032,24.53,84.02
511,chicama,PE,17.29,83,95,1.52,1605154032,-7.84,-79.15
512,yuci,CN,14.0,41,0,1.0,1605153929,37.68,112.73
513,tibati,CM,19.88,54,4,0.59,1605154032,6.47,12.63
514,hasaki,JP,13.0,58,75,5.1,1605154032,35.73,140.83
515,makakilo city,US,28.0,58,20,4.6,1605154032,21.35,-158.09
516,marawi,PH,30.0,74,93,1.79,1605154033,8.0,124.29
517,thunder bay,CA,-1.67,100,90,2.43,1605153846,48.4,-89.32
518,shumskiy,RU,2.25,78,100,2.51,1605154033,54.83,99.13
519,ulladulla,AU,27.0,47,0,4.1,1605154033,-35.35,150.47
520,copiapo,CL,14.0,76,1,4.1,1605154033,-27.37,-70.33
521,zhuanghe,CN,20.0,58,81,0.89,1605154033,39.7,122.99
522,portland,US,6.11,81,40,1.5,1605153994,45.52,-122.68
523,buritis,BR,23.4,70,44,0.58,1605154033,-15.62,-46.42
524,riyadh,SA,20.0,40,0,2.1,1605154026,24.69,46.72
525,killybegs,IE,6.11,93,51,1.79,1605154034,54.63,-8.45
526,half moon bay,US,12.0,87,1,4.1,1605154034,37.46,-122.43
527,tiznit,MA,18.78,38,100,0.53,1605154034,29.58,-9.5
528,oskarshamn,SE,5.56,93,100,1.88,1605154034,57.26,16.45
529,ulaanbaatar,MN,-3.0,73,0,2.51,1605154034,47.91,106.88
530,sur,OM,25.27,53,0,1.67,1605154034,22.57,59.53
531,porteirinha,BR,20.31,77,48,1.9,1605154034,-15.74,-43.03
532,knysna,ZA,12.0,100,0,2.1,1605154035,-34.04,23.05
533,kulu,TR,4.71,79,0,3.14,1605154035,39.1,33.08
534,kundiawa,PG,22.54,71,80,1.41,1605154035,-6.02,144.97
535,abeche,TD,24.2,21,13,7.73,1605154035,13.83,20.83
536,kashi,CN,5.0,25,0,5.0,1605154035,39.45,75.98
537,gamba,GA,25.42,90,96,2.99,1605154035,-2.65,10.0
538,luancheng,CN,13.0,54,0,2.0,1605154035,37.88,114.65
539,eyl,SO,24.74,75,81,5.82,1605154036,7.98,49.82
540,madison,US,15.0,93,90,3.6,1605154036,34.73,-86.57
541,bichura,RU,2.26,76,0,1.48,1605154036,50.59,107.6
542,yerbogachen,RU,-6.68,96,100,3.6,1605154036,61.28,108.01
543,phalombe,MW,20.7,86,97,1.06,1605154036,-15.81,35.65
544,bontang,ID,28.69,69,77,3.1,1605154036,0.13,117.5
545,lorengau,PG,30.03,63,95,2.94,1605154036,-2.02,147.27
546,la rioja,ES,8.0,100,75,2.36,1605154036,42.25,-2.5
547,gravdal,NO,7.78,81,12,4.39,1605154037,68.12,13.5
548,vanavara,RU,-3.08,96,100,6.42,1605154037,60.34,102.28
549,coahuayana,MX,24.01,83,4,1.15,1605154037,18.73,-103.68
550,xichang,CN,18.31,57,42,0.54,1605153923,27.9,102.26
551,laiwu,CN,18.34,39,0,4.21,1605154037,36.19,117.66
552,kongolo,CD,19.73,95,90,0.66,1605154037,-5.38,27.0
553,gat,IL,18.89,77,12,2.01,1605154037,31.61,34.76
554,winslow,US,-1.0,42,1,2.1,1605154038,35.02,-110.7
555,quang ngai,VN,24.73,87,100,4.58,1605154038,15.12,108.8
556,merauke,ID,29.77,64,74,5.92,1605154038,-8.47,140.33
557,itarema,BR,26.32,81,12,6.87,1605154039,-2.92,-39.92
558,novyy yarychiv,UA,4.0,93,90,2.0,1605154039,49.9,24.31
559,camocim,BR,26.21,81,11,5.66,1605154039,-2.9,-40.84
560,yenagoa,NG,23.92,94,0,0.93,1605154040,4.92,6.26
561,mancio lima,BR,22.92,96,92,0.37,1605154040,-7.61,-72.9
562,panlaitan,PH,28.29,81,100,9.15,1605154040,12.12,119.85
563,namatanai,PG,28.84,73,92,2.73,1605154040,-3.67,152.43
564,salinopolis,BR,25.85,86,100,3.99,1605154041,-0.61,-47.36
565,karaton,ID,34.44,59,40,3.1,1605154041,-6.34,106.1
566,taybad,IR,9.06,61,97,6.04,1605154041,34.74,60.78
567,ayan,RU,-0.88,88,98,0.99,1605154041,56.45,138.17
